"unixtime","open","high","low","close","volume","date","price","crypto"
1612434600,1.3e-06,1.33e-06,1.3e-06,1.33e-06,6905029,2021-02-04 10:30:00,0.0416079993,"Dogecoin"
1612434660,1.32e-06,1.33e-06,1.31e-06,1.32e-06,3571404,2021-02-04 10:31:00,0.041299764,"Dogecoin"
1612434720,1.32e-06,1.33e-06,1.31e-06,1.33e-06,10548667,2021-02-04 10:32:00,0.0416116834,"Dogecoin"
1612434780,1.33e-06,1.35e-06,1.33e-06,1.34e-06,11449323,2021-02-04 10:33:00,0.0418749062,"Dogecoin"
1612434840,1.35e-06,1.35e-06,1.33e-06,1.34e-06,8760568,2021-02-04 10:34:00,0.0419008754,"Dogecoin"
1612434900,1.34e-06,1.36e-06,1.33e-06,1.35e-06,10184922,2021-02-04 10:35:00,0.0422388135,"Dogecoin"
1612434960,1.35e-06,1.39e-06,1.35e-06,1.39e-06,23804748,2021-02-04 10:36:00,0.0435136442,"Dogecoin"
1612435020,1.39e-06,1.42e-06,1.38e-06,1.4e-06,61022719,2021-02-04 10:37:00,0.043970906,"Dogecoin"
1612435080,1.41e-06,1.41e-06,1.38e-06,1.39e-06,19714888,2021-02-04 10:38:00,0.0436321,"Dogecoin"
1612435140,1.38e-06,1.41e-06,1.38e-06,1.41e-06,21683767,2021-02-04 10:39:00,0.0441943632,"Dogecoin"
1612435200,1.4e-06,1.42e-06,1.38e-06,1.41e-06,20451634,2021-02-04 10:40:00,0.0442723221,"Dogecoin"
1612435260,1.42e-06,1.43e-06,1.4e-06,1.42e-06,34662678,2021-02-04 10:41:00,0.0446527662,"Dogecoin"
1612435320,1.41e-06,1.42e-06,1.4e-06,1.42e-06,24289980,2021-02-04 10:42:00,0.0446885786,"Dogecoin"
1612435380,1.42e-06,1.42e-06,1.38e-06,1.4e-06,28678785,2021-02-04 10:43:00,0.04409566,"Dogecoin"
1612435440,1.39e-06,1.41e-06,1.39e-06,1.4e-06,16419277,2021-02-04 10:44:00,0.044140978,"Dogecoin"
1612435500,1.4e-06,1.42e-06,1.39e-06,1.41e-06,4871177,2021-02-04 10:45:00,0.0444312714,"Dogecoin"
1612435560,1.42e-06,1.44e-06,1.41e-06,1.43e-06,14490570,2021-02-04 10:46:00,0.045041139,"Dogecoin"
1612435620,1.43e-06,1.44e-06,1.42e-06,1.43e-06,20463265,2021-02-04 10:47:00,0.045089473,"Dogecoin"
1612435680,1.44e-06,1.44e-06,1.41e-06,1.42e-06,15511912,2021-02-04 10:48:00,0.0447481476,"Dogecoin"
1612435740,1.42e-06,1.44e-06,1.41e-06,1.41e-06,22804190,2021-02-04 10:49:00,0.04443615,"Dogecoin"
1612435800,1.42e-06,1.44e-06,1.42e-06,1.43e-06,13784441,2021-02-04 10:50:00,0.0450164286,"Dogecoin"
1612435860,1.44e-06,1.44e-06,1.4e-06,1.41e-06,19564040,2021-02-04 10:51:00,0.0444429039,"Dogecoin"
1612435920,1.41e-06,1.41e-06,1.36e-06,1.36e-06,27200535,2021-02-04 10:52:00,0.0428353896,"Dogecoin"
1612435980,1.36e-06,1.38e-06,1.36e-06,1.37e-06,7686279,2021-02-04 10:53:00,0.0431294906,"Dogecoin"
1612436040,1.37e-06,1.38e-06,1.34e-06,1.36e-06,21743862,2021-02-04 10:54:00,0.042830684,"Dogecoin"
1612436100,1.35e-06,1.36e-06,1.34e-06,1.36e-06,8097834,2021-02-04 10:55:00,0.0428264408,"Dogecoin"
1612436160,1.36e-06,1.37e-06,1.35e-06,1.37e-06,8114199,2021-02-04 10:56:00,0.0430939939,"Dogecoin"
1612436220,1.37e-06,1.37e-06,1.34e-06,1.34e-06,19148955,2021-02-04 10:57:00,0.0421446348,"Dogecoin"
1612436280,1.35e-06,1.36e-06,1.34e-06,1.36e-06,8054207,2021-02-04 10:58:00,0.0427510424,"Dogecoin"
1612436340,1.36e-06,1.38e-06,1.36e-06,1.37e-06,8283843,2021-02-04 10:59:00,0.0430828558,"Dogecoin"
1612436400,1.36e-06,1.39e-06,1.36e-06,1.39e-06,10369103,2021-02-04 11:00:00,0.0436766356,"Dogecoin"
1612436460,1.39e-06,1.41e-06,1.38e-06,1.39e-06,15959787,2021-02-04 11:01:00,0.0435626,"Dogecoin"
1612436520,1.39e-06,1.39e-06,1.36e-06,1.38e-06,9264254,2021-02-04 11:02:00,0.0432447012,"Dogecoin"
1612436580,1.38e-06,1.39e-06,1.37e-06,1.39e-06,4610610,2021-02-04 11:03:00,0.0437110659,"Dogecoin"
1612436640,1.39e-06,1.4e-06,1.38e-06,1.39e-06,4628233,2021-02-04 11:04:00,0.0437544617,"Dogecoin"
1612436700,1.39e-06,1.41e-06,1.38e-06,1.4e-06,9346672,2021-02-04 11:05:00,0.044049054,"Dogecoin"
1612436760,1.39e-06,1.41e-06,1.39e-06,1.41e-06,7548714,2021-02-04 11:06:00,0.0442846455,"Dogecoin"
1612436820,1.41e-06,1.42e-06,1.39e-06,1.41e-06,9639835,2021-02-04 11:07:00,0.0442409919,"Dogecoin"
1612436880,1.41e-06,1.42e-06,1.4e-06,1.41e-06,17679574,2021-02-04 11:08:00,0.0442724772,"Dogecoin"
1612436940,1.41e-06,1.41e-06,1.39e-06,1.4e-06,6913566,2021-02-04 11:09:00,0.043950424,"Dogecoin"
1612437000,1.4e-06,1.4e-06,1.38e-06,1.39e-06,10773367,2021-02-04 11:10:00,0.0436074275,"Dogecoin"
1612437060,1.39e-06,1.4e-06,1.38e-06,1.4e-06,7684255,2021-02-04 11:11:00,0.04394999,"Dogecoin"
1612437120,1.39e-06,1.41e-06,1.39e-06,1.4e-06,6663956,2021-02-04 11:12:00,0.044108918,"Dogecoin"
1612437180,1.4e-06,1.4e-06,1.37e-06,1.38e-06,8457616,2021-02-04 11:13:00,0.0434370042,"Dogecoin"
1612437240,1.38e-06,1.39e-06,1.37e-06,1.37e-06,8974855,2021-02-04 11:14:00,0.0431455744,"Dogecoin"
1612437300,1.37e-06,1.39e-06,1.37e-06,1.38e-06,5985461,2021-02-04 11:15:00,0.0435490464,"Dogecoin"
1612437360,1.39e-06,1.4e-06,1.38e-06,1.39e-06,11341200,2021-02-04 11:16:00,0.0439753466,"Dogecoin"
1612437420,1.39e-06,1.4e-06,1.38e-06,1.4e-06,6864186,2021-02-04 11:17:00,0.044271598,"Dogecoin"
1612437480,1.4e-06,1.4e-06,1.38e-06,1.39e-06,5724947,2021-02-04 11:18:00,0.0440145307,"Dogecoin"
1612437540,1.39e-06,1.39e-06,1.37e-06,1.38e-06,7805996,2021-02-04 11:19:00,0.0437047656,"Dogecoin"
1612437600,1.38e-06,1.4e-06,1.37e-06,1.39e-06,11775585,2021-02-04 11:20:00,0.0439926243,"Dogecoin"
1612437660,1.39e-06,1.41e-06,1.39e-06,1.4e-06,11269362,2021-02-04 11:21:00,0.044279172,"Dogecoin"
1612437720,1.4e-06,1.41e-06,1.39e-06,1.4e-06,5593524,2021-02-04 11:22:00,0.044261518,"Dogecoin"
1612437780,1.4e-06,1.41e-06,1.39e-06,1.41e-06,6829897,2021-02-04 11:23:00,0.0445483155,"Dogecoin"
1612437840,1.41e-06,1.42e-06,1.4e-06,1.42e-06,7043614,2021-02-04 11:24:00,0.0448699836,"Dogecoin"
1612437900,1.42e-06,1.43e-06,1.41e-06,1.42e-06,12109604,2021-02-04 11:25:00,0.0448719858,"Dogecoin"
1612437960,1.41e-06,1.42e-06,1.41e-06,1.42e-06,4330677,2021-02-04 11:26:00,0.0448275966,"Dogecoin"
1612438020,1.41e-06,1.42e-06,1.4e-06,1.41e-06,8288578,2021-02-04 11:27:00,0.044497203,"Dogecoin"
1612438080,1.42e-06,1.42e-06,1.41e-06,1.41e-06,1702785,2021-02-04 11:28:00,0.0445074678,"Dogecoin"
1612438140,1.41e-06,1.43e-06,1.41e-06,1.43e-06,8526370,2021-02-04 11:29:00,0.0451819511,"Dogecoin"
1612438200,1.42e-06,1.45e-06,1.42e-06,1.45e-06,18521684,2021-02-04 11:30:00,0.045911785,"Dogecoin"
1612438260,1.44e-06,1.45e-06,1.43e-06,1.44e-06,12671600,2021-02-04 11:31:00,0.0455197536,"Dogecoin"
1612438320,1.44e-06,1.45e-06,1.42e-06,1.43e-06,13336301,2021-02-04 11:32:00,0.0451562111,"Dogecoin"
1612438380,1.42e-06,1.43e-06,1.41e-06,1.41e-06,6513254,2021-02-04 11:33:00,0.0444559746,"Dogecoin"
1612438440,1.42e-06,1.42e-06,1.39e-06,1.41e-06,11142640,2021-02-04 11:34:00,0.044467734,"Dogecoin"
1612438500,1.41e-06,1.42e-06,1.4e-06,1.42e-06,11712941,2021-02-04 11:35:00,0.044804976,"Dogecoin"
1612438560,1.42e-06,1.43e-06,1.41e-06,1.42e-06,9527850,2021-02-04 11:36:00,0.0448055582,"Dogecoin"
1612438620,1.42e-06,1.42e-06,1.39e-06,1.4e-06,11727296,2021-02-04 11:37:00,0.04413052,"Dogecoin"
1612438680,1.4e-06,1.41e-06,1.39e-06,1.41e-06,6857174,2021-02-04 11:38:00,0.044408373,"Dogecoin"
1612438740,1.41e-06,1.41e-06,1.39e-06,1.4e-06,9978569,2021-02-04 11:39:00,0.044121322,"Dogecoin"
1612438800,1.4e-06,1.42e-06,1.39e-06,1.42e-06,4285006,2021-02-04 11:40:00,0.0447191512,"Dogecoin"
1612438860,1.42e-06,1.42e-06,1.4e-06,1.41e-06,3797260,2021-02-04 11:41:00,0.0444171996,"Dogecoin"
1612438920,1.41e-06,1.42e-06,1.4e-06,1.42e-06,4287243,2021-02-04 11:42:00,0.0447268476,"Dogecoin"
1612438980,1.41e-06,1.42e-06,1.4e-06,1.41e-06,6842640,2021-02-04 11:43:00,0.0443740254,"Dogecoin"
1612439040,1.41e-06,1.42e-06,1.4e-06,1.4e-06,4267308,2021-02-04 11:44:00,0.044074842,"Dogecoin"
1612439100,1.41e-06,1.41e-06,1.4e-06,1.4e-06,1008266,2021-02-04 11:45:00,0.044036804,"Dogecoin"
1612439160,1.41e-06,1.42e-06,1.4e-06,1.42e-06,3511473,2021-02-04 11:46:00,0.0446907654,"Dogecoin"
1612439220,1.42e-06,1.42e-06,1.41e-06,1.42e-06,4641321,2021-02-04 11:47:00,0.0447158,"Dogecoin"
1612439280,1.42e-06,1.43e-06,1.41e-06,1.43e-06,4655129,2021-02-04 11:48:00,0.0450405956,"Dogecoin"
1612439340,1.43e-06,1.43e-06,1.41e-06,1.43e-06,6202628,2021-02-04 11:49:00,0.0450021143,"Dogecoin"
1612439400,1.42e-06,1.44e-06,1.42e-06,1.43e-06,6383323,2021-02-04 11:50:00,0.0450317725,"Dogecoin"
1612439460,1.43e-06,1.44e-06,1.42e-06,1.44e-06,6403364,2021-02-04 11:51:00,0.0453216096,"Dogecoin"
1612439520,1.43e-06,1.44e-06,1.42e-06,1.44e-06,5145418,2021-02-04 11:52:00,0.0453467376,"Dogecoin"
1612439580,1.44e-06,1.44e-06,1.41e-06,1.41e-06,9869353,2021-02-04 11:53:00,0.0443445,"Dogecoin"
1612439640,1.41e-06,1.43e-06,1.41e-06,1.43e-06,6040791,2021-02-04 11:54:00,0.0449923188,"Dogecoin"
1612439700,1.42e-06,1.44e-06,1.42e-06,1.43e-06,7458789,2021-02-04 11:55:00,0.0449478601,"Dogecoin"
1612439760,1.44e-06,1.44e-06,1.42e-06,1.44e-06,3609530,2021-02-04 11:56:00,0.0451975392,"Dogecoin"
1612439820,1.44e-06,1.44e-06,1.43e-06,1.44e-06,2892463,2021-02-04 11:57:00,0.0451360656,"Dogecoin"
1612439880,1.44e-06,1.44e-06,1.42e-06,1.44e-06,15842805,2021-02-04 11:58:00,0.0450163296,"Dogecoin"
1612439940,1.44e-06,1.45e-06,1.43e-06,1.45e-06,2021685,2021-02-04 11:59:00,0.0452255,"Dogecoin"
1612440000,1.44e-06,1.45e-06,1.42e-06,1.43e-06,13698859,2021-02-04 12:00:00,0.0444531802,"Dogecoin"
1612310400,29498.77,29517.91,29490.23,29502.05,2.544951,2021-02-03 00:00:00,29502.05,"Bitcoin"
1612310460,29502.06,29504.74,29464.29,29464.29,1.940353,2021-02-03 00:01:00,29464.29,"Bitcoin"
1612310520,29469.89,29558.59,29460.79,29558.11,1.010186,2021-02-03 00:02:00,29558.11,"Bitcoin"
1612310580,29550.96,29597.62,29523.15,29524.62,1.47565,2021-02-03 00:03:00,29524.62,"Bitcoin"
1612310640,29540.93,29540.93,29429.64,29459.71,2.436467,2021-02-03 00:04:00,29459.71,"Bitcoin"
1612310700,29444.7,29446.05,29404.59,29444.18,1.715067,2021-02-03 00:05:00,29444.18,"Bitcoin"
1612310760,29444.19,29491.73,29444.19,29454.8,6.475448,2021-02-03 00:06:00,29454.8,"Bitcoin"
1612310820,29454.81,29504.99,29440,29486.1,1.946314,2021-02-03 00:07:00,29486.1,"Bitcoin"
1612310880,29496.02,29496.5,29462.96,29486.52,0.573667,2021-02-03 00:08:00,29486.52,"Bitcoin"
1612310940,29491.37,29516.25,29456.43,29475.77,2.888504,2021-02-03 00:09:00,29475.77,"Bitcoin"
1612311000,29475.31,29516.16,29474.05,29500.21,4.151657,2021-02-03 00:10:00,29500.21,"Bitcoin"
1612311060,29500.42,29513.5,29479.93,29488.79,1.412456,2021-02-03 00:11:00,29488.79,"Bitcoin"
1612311120,29488.79,29520.86,29485.21,29514.72,1.067435,2021-02-03 00:12:00,29514.72,"Bitcoin"
