"ticker","date","open","high","low","close","volume"
"TSLA",2020-05-01 16:27:00,710.4,716.07,709.205,714.17,1853
"TSLA",2020-05-01 16:28:00,713.78,714.48,708.9,710.215,855
"TSLA",2020-05-01 16:29:00,709.82,712.17,709.33,711.75,843
"TSLA",2020-05-01 16:30:00,710.33,710.33,706.875,707.66,1815
"TSLA",2020-05-01 16:31:00,708.75,709.55,704.45,704.45,1245
"TSLA",2020-05-01 16:32:00,704.51,705.91,703.03,703.03,1874
"TSLA",2020-05-01 16:33:00,704.05,707.785,704.05,706.07,925
"TSLA",2020-05-01 16:34:00,706.47,707.72,704.01,706.58,855
"TSLA",2020-05-01 16:35:00,705.505,706.64,704.005,706.03,939
"TSLA",2020-05-01 16:36:00,707.08,708.17,703.01,704.015,553
"TSLA",2020-05-01 16:37:00,704.235,704.49,700.39,700.39,1870
"TSLA",2020-05-01 16:38:00,700.75,700.75,697.91,698.66,651
"TSLA",2020-05-01 16:39:00,700.96,702.36,700.96,702.36,160
"TSLA",2020-05-01 16:40:00,703.4,705.79,703.16,703.165,510
"TSLA",2020-05-01 16:41:00,702.25,706.09,702.25,705.13,785
"TSLA",2020-05-01 16:42:00,704.275,705.49,703.05,703.92,2863
"TSLA",2020-05-01 16:43:00,704.72,708.47,704.72,707.43,3227
"TSLA",2020-05-01 16:44:00,707.48,714.16,707.43,714.16,2868
"TSLA",2020-05-01 16:45:00,712.98,714,711.6,714,1135
"TSLA",2020-05-01 16:46:00,713.79,714.82,711.7,711.7,1120
"TSLA",2020-05-01 16:47:00,711.91,716.33,711.91,716.33,470
"TSLA",2020-05-01 16:48:00,716,716,711.36,711.36,2960
"TSLA",2020-05-01 16:49:00,711.4,711.4,708.01,709.98,960
"TSLA",2020-05-01 16:50:00,711.35,711.95,711.35,711.91,431
"TSLA",2020-05-01 16:51:00,710.08,711.58,708.73,711.17,3402
"TSLA",2020-05-01 16:52:00,710.58,712.3,710.34,711.88,397
"TSLA",2020-05-01 16:53:00,711.29,712.8,711.29,712.8,75
"TSLA",2020-05-01 16:54:00,713.99,714.98,713.62,714.09,992
"TSLA",2020-05-01 16:55:00,714.75,715.47,712.77,713.695,307
"TSLA",2020-05-01 16:56:00,715.075,719.48,715.07,717.445,841
"TSLA",2020-05-01 16:57:00,718.35,720.59,718.05,719.49,1404
"TSLA",2020-05-01 16:58:00,720.215,722.2,718.525,719.905,4331
"TSLA",2020-05-01 16:59:00,720.37,720.37,719.13,719.23,272
"TSLA",2020-05-01 17:00:00,718.33,720.79,716.19,717.42,345
"TSLA",2020-05-01 17:01:00,716.29,719.195,715.84,718.57,291
"TSLA",2020-05-01 17:02:00,719,721.79,718.375,718.55,751
"TSLA",2020-05-01 17:03:00,718.46,718.46,716.205,716.205,28
"TSLA",2020-05-01 17:04:00,717.12,717.99,716.795,716.795,121
"TSLA",2020-05-01 17:05:00,716.54,716.55,713.73,714.58,545
"TSLA",2020-05-01 17:06:00,715.94,717.055,715.43,717.055,334
"TSLA",2020-05-01 17:07:00,716.62,716.95,716.26,716.95,102
"TSLA",2020-05-01 17:08:00,716.55,716.55,716.26,716.26,114
"TSLA",2020-05-01 17:09:00,712.825,713.44,712.585,712.585,466
"TSLA",2020-05-01 17:10:00,712.1,713.63,710.19,713.63,194
"TSLA",2020-05-01 17:11:00,713.46,715.4,713.41,713.94,192
"TSLA",2020-05-01 17:12:00,714.135,714.39,712.63,713.25,286
"TSLA",2020-05-01 17:13:00,714.13,715.73,714.13,715.04,337
"TSLA",2020-05-01 17:14:00,714.2,714.68,713.94,713.94,103
"TSLA",2020-05-01 17:15:00,715.04,716.56,714.77,716.2,544
"TSLA",2020-05-01 17:16:00,716.5,717.74,715.005,715.51,2844
"TSLA",2020-05-01 17:17:00,716.48,716.48,713.74,714.06,1291
"TSLA",2020-05-01 17:18:00,713.99,714.52,713.41,714.04,214
"TSLA",2020-05-01 17:19:00,714.08,715.285,714.08,714.69,47
"TSLA",2020-05-01 17:20:00,714.81,715.02,714.13,715.02,111
"TSLA",2020-05-01 17:21:00,713.27,713.27,711.7,711.7,24
"TSLA",2020-05-01 17:22:00,712.99,713.68,711.81,711.81,413
"TSLA",2020-05-01 17:23:00,712.15,712.15,710.32,710.32,105
"TSLA",2020-05-01 17:24:00,709.68,709.93,708.92,709.93,404
"TSLA",2020-05-01 17:25:00,709.55,712.3,709.55,712.23,1154
"TSLA",2020-05-01 17:26:00,712.05,712.93,712.01,712.46,3331
"TSLA",2020-05-01 17:27:00,712.41,712.84,711.295,711.295,1010
"TSLA",2020-05-01 17:28:00,711.275,711.3,709.76,709.99,902
"TSLA",2020-05-01 17:29:00,710.86,712.79,710.86,712.655,110
"TSLA",2020-05-01 17:30:00,711.61,712.88,711.61,712.88,460
"TSLA",2020-05-01 17:31:00,712.16,712.16,712.16,712.16,1
"TSLA",2020-05-01 17:32:00,711.59,713.32,711.58,713.32,278
"TSLA",2020-05-01 17:33:00,713.57,715,713.57,715,149
"TSLA",2020-05-01 17:34:00,711.99,712.52,709.24,709.24,513
"TSLA",2020-05-01 17:35:00,707.78,707.78,702.89,704.01,2010
"TSLA",2020-05-01 17:36:00,703.575,703.575,700.005,700.005,1480
"TSLA",2020-05-01 17:37:00,700.005,701.85,697.8,701.85,2014
"TSLA",2020-05-01 17:38:00,702.16,703.44,700.56,701.955,2033
"TSLA",2020-05-01 17:39:00,702.18,702.18,698.28,698.28,1700
"TSLA",2020-05-01 17:40:00,698.98,700.7,698.98,700.7,300
"TSLA",2020-05-01 17:41:00,699.17,699.78,699,699.78,169
"TSLA",2020-05-01 17:42:00,701.93,701.93,700.31,700.31,703
"TSLA",2020-05-01 17:43:00,700,702.64,699.14,701.94,1208
"TSLA",2020-05-01 17:44:00,700.625,700.9,699.52,700.9,237
"TSLA",2020-05-01 17:45:00,701.98,701.98,700.255,700.255,1625
"TSLA",2020-05-01 17:46:00,700.81,700.81,700.81,700.81,50
"TSLA",2020-05-01 17:47:00,701.88,704.98,700.3,704.98,1523
"TSLA",2020-05-01 17:48:00,702.02,703.1,702.01,703.1,30
"TSLA",2020-05-01 17:49:00,701.005,701.75,700.495,700.495,436
"TSLA",2020-05-01 17:50:00,700.495,704.05,700.38,703.35,1191
"TSLA",2020-05-01 17:51:00,705.345,705.535,705.01,705.51,281
"TSLA",2020-05-01 17:52:00,707.245,707.48,705.99,706.13,687
"TSLA",2020-05-01 17:53:00,705.44,705.54,704.31,704.86,861
"TSLA",2020-05-01 17:54:00,705.44,706.675,705.44,705.855,459
"TSLA",2020-05-01 17:55:00,706.34,706.42,706.32,706.36,8
"TSLA",2020-05-01 17:56:00,705.855,705.855,703.86,704.135,1476
"TSLA",2020-05-01 17:57:00,704.51,704.67,704.265,704.67,12
"TSLA",2020-05-01 17:58:00,703.95,703.95,701.91,701.91,106
"TSLA",2020-05-01 17:59:00,702.425,703.04,701.58,703.02,313
"TSLA",2020-05-01 18:00:00,703.08,703.09,701.57,701.57,152
"TSLA",2020-05-01 18:01:00,701.015,701.88,701.015,701.88,130
"TSLA",2020-05-01 18:02:00,702.175,703.25,702.175,702.755,70
"TSLA",2020-05-01 18:03:00,704.11,705.3,704.11,705.205,171
"TSLA",2020-05-01 18:04:00,704.39,708,704.03,708,964
"TSLA",2020-05-01 18:05:00,708.39,708.39,706.455,706.62,466
"TSLA",2020-05-01 18:06:00,706.635,706.635,706.635,706.635,100
